年龄,P3,P10,P25,P50,P75,P90,P97
0月,31.9,32.7,33.4,34.3,35.2,36.0,36.8
1月,34.8,35.5,36.2,37.0,37.8,38.5,39.2
2月,36.9,37.6,38.3,39.1,39.9,40.6,41.3
3月,38.3,39.0,39.7,40.5,41.3,42.0,42.7
4月,39.4,40.1,40.8,41.6,42.4,43.1,43.9
5月,40.3,41.0,41.7,42.5,43.4,44.1,44.9
6月,41.1,41.8,42.5,43.4,44.2,44.9,45.7
7月,41.8,42.5,43.2,44.0,44.9,45.6,46.4
8月,42.4,43.1,43.8,44.6,45.5,46.2,47.0
9月,42.8,43.5,44.3,45.1,46.0,46.7,47.5
10月,43.2,43.9,44.7,45.5,46.4,47.1,47.9
11月,43.6,44.3,45.0,45.8,46.7,47.5,48.3
12月,43.8,44.6,45.3,46.1,47.0,47.8,48.6
13月,44.1,44.8,45.5,46.4,47.2,48.0,48.8
14月,44.3,45.0,45.8,46.6,47.5,48.2,49.0
15月,44.5,45.2,46.0,46.8,47.7,48.5,49.3
16月,44.7,45.4,46.2,47.0,47.9,48.7,49.4
17月,44.9,45.6,46.3,47.2,48.0,48.8,49.6
18月,45.1,45.8,46.5,47.4,48.2,49.0,49.8
19月,45.2,46.0,46.7,47.5,48.4,49.2,50.0
20月,45.4,46.1,46.9,47.7,48.6,49.4,50.2
21月,45.6,46.3,47.0,47.9,48.8,49.6,50.4
22月,45.7,46.5,47.2,48.1,48.9,49.7,50.5
23月,45.9,46.6,47.4,48.2,49.1,49.9,50.7
24月,46.0,46.7,47.5,48.3,49.2,50.0,50.8
27月,46.3,47.1,47.8,48.7,49.5,50.4,51.2
30月,46.6,47.3,48.1,48.9,49.8,50.6,51.5
33月,46.8,47.5,48.3,49.2,50.0,50.9,51.7
36月,47.0,47.7,48.5,49.3,50.2,51.1,51.9