身长cm,P3,P10,P25,P50,P75,P90,P97
45,2.0,2.1,2.2,2.3,2.5,2.6,2.8
46,2.1,2.3,2.4,2.5,2.7,2.8,3.0
47,2.3,2.4,2.6,2.7,2.9,3.0,3.2
48,2.5,2.6,2.7,2.9,3.1,3.2,3.4
49,2.6,2.8,2.9,3.1,3.3,3.5,3.6
50,2.8,2.9,3.1,3.3,3.5,3.7,3.9
51,3.0,3.2,3.3,3.5,3.7,3.9,4.2
52,3.2,3.4,3.6,3.8,4.0,4.2,4.5
53,3.4,3.6,3.8,4.0,4.3,4.5,4.8
54,3.7,3.9,4.1,4.3,4.6,4.8,5.1
55,3.9,4.1,4.3,4.6,4.9,5.1,5.4
56,4.2,4.4,4.6,4.9,5.2,5.5,5.8
57,4.4,4.6,4.8,5.1,5.5,5.8,6.1
58,4.6,4.9,5.1,5.4,5.7,6.1,6.4
59,4.9,5.1,5.4,5.7,6.0,6.4,6.8
60,5.1,5.4,5.6,6.0,6.3,6.7,7.0
61,5.3,5.6,5.9,6.2,6.6,7.0,7.3
62,5.6,5.8,6.1,6.5,6.9,7.3,7.6
63,5.8,6.1,6.4,6.8,7.2,7.6,7.9
64,6.0,6.3,6.6,7.0,7.4,7.9,8.1
65,6.2,6.5,6.9,7.3,7.7,8.1,8.4
66,6.5,6.8,7.1,7.5,7.9,8.4,8.7
67,6.7,7.0,7.3,7.7,8.2,8.7,8.9
68,6.9,7.2,7.5,8.0,8.4,8.9,9.1
69,7.1,7.4,7.7,8.2,8.7,9.1,9.4
70,7.2,7.6,7.9,8.4,8.9,9.4,9.6
71,7.4,7.8,8.1,8.6,9.1,9.6,9.8
72,7.6,8.0,8.3,8.8,9.3,9.8,10.2
73,7.8,8.1,8.5,9.0,9.5,10.1,10.4
74,8.0,8.3,8.7,9.2,9.7,10.3,10.6
75,8.1,8.5,8.9,9.4,9.9,10.5,10.9
76,8.3,8.7,9.1,9.6,10.1,10.7,11.1
77,8.5,8.8,9.3,9.8,10.3,10.9,11.3
78,8.6,9.0,9.4,9.9,10.5,11.1,11.5
79,8.8,9.2,9.6,10.1,10.7,11.3,11.7
80,9.0,9.4,9.8,10.3,10.9,11.5,11.9
81,9.2,9.6,10.0,10.5,11.1,11.7,12.2
82,9.3,9.7,10.2,10.7,11.3,11.9,12.4
83,9.5,9.9,10.4,10.9,11.5,12.2,12.6
84,9.7,10.1,10.6,11.1,11.8,12.4,12.8
85,9.9,10.3,10.8,11.3,12.0,12.6,13.1
86,10.1,10.5,11.0,11.6,12.2,12.8,13.3
87,10.3,10.7,11.2,11.8,12.4,13.1,13.6
88,10.5,10.9,11.4,12.0,12.7,13.3,14.1
89,10.7,11.1,11.6,12.2,12.9,13.6,14.3
90,10.9,11.3,11.8,12.4,13.1,13.8,14.6
91,11.1,11.5,12.0,12.7,13.4,14.1,14.8
92,11.3,11.7,12.3,12.9,13.6,14.3,15.1
93,11.5,12.0,12.5,13.1,13.8,14.6,15.4
94,11.7,12.2,12.7,13.4,14.1,14.8,15.7
95,11.9,12.4,12.9,13.6,14.4,15.1,16.0
96,12.1,12.6,13.2,13.9,14.6,15.4,16.3
97,12.4,12.9,13.4,14.1,14.9,15.7,16.6
98,12.6,13.1,13.7,14.4,15.2,16.0,16.9
99,12.8,13.4,14.0,14.7,15.5,16.3,17.2
100,13.1,13.6,14.2,14.9,15.8,16.6,17.5