身高cm,P3,P10,P25,P50,P75,P90,P97
75,8.3,8.6,9.0,9.5,10.1,10.6,11.2
76,8.4,8.8,9.2,9.7,10.3,10.8,11.4
77,8.6,9.0,9.4,9.9,10.5,11.0,11.7
78,8.8,9.1,9.6,10.1,10.7,11.2,11.9
79,8.9,9.3,9.7,10.3,10.9,11.4,12.1
80,9.1,9.5,9.9,10.5,11.1,11.7,12.3
81,9.3,9.7,10.1,10.7,11.3,11.9,12.5
82,9.5,9.9,10.3,10.9,11.5,12.1,12.8
83,9.7,10.1,10.5,11.1,11.7,12.3,13.0
84,9.8,10.3,10.7,11.3,11.9,12.5,13.2
85,10.0,10.5,10.9,11.5,12.1,12.8,13.5
86,10.2,10.7,11.1,11.7,12.4,13.0,13.7
87,10.4,10.9,11.3,11.9,12.6,13.3,14.0
88,10.6,11.1,11.5,12.1,12.8,13.5,14.2
89,10.8,11.3,11.8,12.4,13.0,13.7,14.5
90,11.0,11.5,12.0,12.6,13.3,14.0,14.8
91,11.2,11.7,12.2,12.8,13.5,14.2,15.0
92,11.4,11.9,12.4,13.1,13.8,14.5,15.3
93,11.6,12.1,12.6,13.3,14.0,14.8,15.6
94,11.8,12.3,12.9,13.5,14.3,15.0,15.9
95,12.1,12.6,13.1,13.8,14.6,15.3,16.2
96,12.3,12.8,13.4,14.1,14.8,15.6,16.5
97,12.5,13.0,13.6,14.3,15.1,15.9,16.8
98,12.8,13.3,13.9,14.6,15.4,16.2,17.1
99,13.0,13.5,14.1,14.9,15.7,16.5,17.4
100,13.2,13.8,14.4,15.1,16.0,16.8,17.8
101,13.5,14.0,14.7,15.4,16.3,17.1,18.1
102,13.7,14.3,14.9,15.7,16.6,17.5,18.4
103,13.9,14.5,15.2,16.0,16.9,17.8,18.8
104,14.2,14.8,15.4,16.3,17.2,18.1,19.1
105,14.4,15.0,15.7,16.5,17.5,18.4,19.5
106,14.7,15.3,16.0,16.8,17.8,18.8,19.8
107,14.9,15.5,16.3,17.1,18.1,19.1,20.2
108,15.1,15.8,16.5,17.4,18.5,19.5,20.6
109,15.4,16.1,16.8,17.8,18.8,19.8,21.0
110,15.7,16.4,17.1,18.1,19.1,20.2,21.4
111,15.9,16.6,17.4,18.4,19.5,20.6,21.8
112,16.2,16.9,17.8,18.8,19.9,21.0,22.3
113,16.5,17.2,18.1,19.1,20.3,21.5,22.8
114,16.7,17.5,18.4,19.5,20.7,21.9,23.3
115,17.0,17.8,18.8,19.9,21.1,22.4,23.8
116,17.3,18.2,19.1,20.3,21.6,22.9,24.4
117,17.6,18.5,19.5,20.7,22.0,23.4,24.9
118,17.9,18.8,19.8,21.1,22.5,23.9,25.5
119,18.2,19.2,20.2,21.5,23.0,24.5,26.1
120,18.5,19.5,20.6,22.0,23.5,25.0,26.8
121,18.9,19.9,21.0,22.4,24.0,25.6,27.4
122,19.2,20.2,21.4,22.9,24.5,26.2,28.1
123,19.5,20.6,21.8,23.4,25.1,26.8,28.8
124,19.9,21.0,22.3,23.8,25.6,27.5,29.5
125,20.2,21.4,22.7,24.3,26.2,28.1,30.2
126,20.5,21.7,23.1,24.8,26.7,28.7,30.9
127,20.9,22.1,23.5,25.3,27.3,29.4,31.7
128,21.2,22.5,24.0,25.8,27.9,30.0,32.4
129,21.5,22.9,24.4,26.3,28.4,30.6,33.1
130,21.8,23.2,24.8,26.8,29.0,31.3,33.9